,Compound Score,Date,Negative Score,Neutral Score,Postive Score,Text,Tweets Ago,Username
104,0.5574,Sat Jun 09 06:33:04 +0000 2018,0.0,0.723,0.277,"Trump says he may pardon Muhammad Ali, who does not need a pardon https://t.co/CSfrmCESau https://t.co/lEbE35xvkE",5,CBSNews
105,-0.5994,Sat Jun 09 06:18:04 +0000 2018,0.358,0.642,0.0,Stars react to Anthony Bourdain's death https://t.co/ZAvjD1gHKv https://t.co/Xzyn9wv60j,6,CBSNews
106,0.5574,Sat Jun 09 06:03:06 +0000 2018,0.0,0.769,0.231,"Mom in ""affluenza"" case in Texas jail after positive drug test https://t.co/Aryj6AEkAZ https://t.co/K39a1CtDfC",7,CBSNews
107,-0.5574,Sat Jun 09 05:48:04 +0000 2018,0.205,0.795,0.0,Kate Spade's father said he spoke to her the night before she died https://t.co/hPhLaiRl9K https://t.co/xbutyk3sKb,8,CBSNews
108,0.5859,Sat Jun 09 05:33:05 +0000 2018,0.0,0.648,0.352,$315M Powerball Jackpot winner comes forward https://t.co/EtmEQjQ1iD https://t.co/wzu4QQsb9J,9,CBSNews
109,-0.34,Sat Jun 09 05:18:05 +0000 2018,0.194,0.806,0.0,Teen's arrest prompts new use-of-force investigation for Mesa police https://t.co/Ojn5ufeZQW https://t.co/P2IlJl7Y8v,10,CBSNews
110,0.0,Sat Jun 09 05:03:04 +0000 2018,0.0,1.0,0.0,Stormy Daniels' former attorney countersues https://t.co/9TcJ8awSG0 https://t.co/Y7HjJ8RZAA,11,CBSNews
111,-0.1779,Sat Jun 09 04:48:03 +0000 2018,0.295,0.476,0.229,5 dangerous myths about Social Security https://t.co/eJR8SNXxF6 https://t.co/bpF6XXuB01,12,CBSNews
112,-0.7096,Sat Jun 09 04:33:03 +0000 2018,0.33,0.67,0.0,High school valedictorian says mic was cut before speaking about sex assault https://t.co/HPzGQvfP6v https://t.co/y4vjIuSSbB,13,CBSNews
113,-0.6486,Sat Jun 09 04:18:03 +0000 2018,0.264,0.736,0.0,Woman who led private investigator to stepson's decomposing remains found dead https://t.co/tIzWD3pZII https://t.co/EylAtAJMjM,14,CBSNews
114,-0.0258,Sat Jun 09 04:03:06 +0000 2018,0.073,0.927,0.0,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/vbyN5oULaN https://t.co/7WLUMDNYDH",15,CBSNews
